Iteration,Translation
0,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off."
1,"Rajarshi, comment allez-vous aujourd'hui?"
2,"Rajarshi, how are you today?"
3,"Rajarshi, comment allez-vous aujourd'hui?"
4,"Rajarshi, how are you today?"
5,"Rajarshi, comment allez-vous aujourd'hui?"
6,"Rajarshi, how are you today?"
7,"Rajarshi, comment allez-vous aujourd'hui?"
8,"Rajarshi, how are you today?"
9,"Rajarshi, comment allez-vous aujourd'hui?"
10,"Rajarshi, how are you today?"
